"id","name","code","account_type","tag_ids","reconcile","non_trade"
"flous_current_assets","Current Assets","1010","asset_current","","False","False"
"flous_stock_valuation","Stock Valuation","1101","asset_current","","False","False"
"flous_cost_of_production","Cost of Production","1104","asset_current","","True","False"
"flous_wip","Work in Progress","1105","asset_current","","True","False"
"flous_receivable","Account Receivable","1210","asset_receivable","","True","False"
"flous_to_receive_rec","Products to receive","1211","asset_current","","True","False"
"flous_owner_current_account","Owner's Current Account","1220","asset_receivable","","True","True"
"flous_prepaid_expenses","Prepaid Expenses","1280","asset_current","","False","False"
"flous_tax_paid","Tax Paid","1310","asset_current","","False","False"
"flous_tax_receivable","Tax Receivable","1320","asset_receivable","","True","True"
"flous_prepayments","Prepayments","1410","asset_prepayments","","False","False"
"flous_fixed_assets","Fixed Asset","1510","asset_fixed","","False","False"
"flous_non_current_assets","Non-current assets","1910","asset_non_current","","False","False"
"flous_current_liabilities","Current Liabilities","2010","liability_current","","False","False"
"flous_payable","Account Payable","2110","liability_payable","","True","False"
"flous_to_receive_pay","Bills to receive","2111","liability_current","","True","False"
"flous_deferred_revenue","Deferred Revenue","2120","liability_current","","False","False"
"flous_salary_payable","Salary Payable","2300","liability_current","","True","False"
"flous_employee_payroll_taxes","Employee Payroll Taxes","2301","liability_current","","True","False"
"flous_employer_payroll_taxes","Employer Payroll Taxes","2302","liability_current","","True","False"
"flous_tax_received","Tax Received","2510","liability_current","","False","False"
"flous_tax_payable","Tax Payable","2520","liability_payable","","True","True"
"flous_non_current_liabilities","Non-current Liabilities","2910","liability_non_current","","False","False"
"flous_capital","Capital","3010","equity","","False","False"
"flous_dividends","Dividends","3020","equity","","False","False"
"flous_income","Product Sales","4000","income","account.account_tag_operating","False","False"
"flous_income_currency_exchange","Foreign Exchange Gain","4410","income","account.account_tag_financing","False","False"
"flous_cash_diff_income","Cash Difference Gain","4420","income","account.account_tag_investing","False","False"
"flous_cash_discount_loss","Cash Discount Loss","4430","expense","","False","False"
"flous_other_income","Other Income","4500","income_other","","False","False"
"flous_cost_of_goods_sold","Cost of Goods Sold","5000","expense_direct_cost","account.account_tag_operating","False","False"
"flous_expense","Expenses","6000","expense","account.account_tag_operating","False","False"
"flous_stock_variation","Stock Variation","6100","expense","","False","False"
"flous_expense_invest","Purchase of Equipments","6110","expense","account.account_tag_investing","False","False"
"flous_expense_rent","Rent","6120","expense","account.account_tag_investing","False","False"
"flous_expense_finance","Bank Fees","6200","expense","account.account_tag_financing","False","False"
"flous_expense_salary","Salary Expenses","6300","expense","account.account_tag_operating","False","False"
"flous_expense_currency_exchange","Foreign Exchange Loss","6410","expense","account.account_tag_financing","False","False"
"flous_cash_diff_expense","Cash Difference Loss","6420","expense","account.account_tag_investing","False","False"
"flous_cash_discount_gain","Cash Discount Gain","6430","income","","False","False"
"flous_expense_rd","RD Expenses","9610","expense","account.account_tag_investing","False","False"
"flous_expense_sales","Sales Expenses","9620","expense","account.account_tag_investing","False","False"
"flous_pos_receivable","Account Receivable (PoS)","1013","asset_receivable","","True","False"
"flous_credit_card","Credit Card","201100","liability_credit_card","","False","False"
"flous_profit_or_loss","Profit or Loss Appropriation","999999","equity_unaffected","","False","False"
"flous_retained_earnings","Accumulated Retained Earnings","999998","equity_unaffected","","False","False"
